Book Name,Subject,Edition ,Section ,Copies,Id,Author
Electrical Design Estimating and Costing,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,762,"Raina, Bhattacharya"
Construction of Power Transmission Lines and Substation,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,763,F. Magidin
Modern Power Generation Practice,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,764,"Oza, Makwana"
Electrical Control Equipment,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,765,L Rodstein
Power Station Simulaors,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,766,D Zanobetti
Science and Technology of Photovoltaics,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,767,P Jayarama Reddy
Generation Distribution and Utilization of Electrical Energy,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,768,Wadhwa
Power Quality Problems and Solutions,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,769,Cobben
Electricity Reforms and Green Power Development,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,770,"Deo, Modak"
Wind Power Development in India,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,771,Pillai
Gathering Renewable Energy in Electrical Networks,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,772,Bodger  and Arrillaga
Wind Energy Systems and its Applications,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,773,Kothari and Umashankar
Power System Capacitors,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,774,Natarajan
Electric Networks,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,775,Mircea Eremia
Energy for Growth and Sustainability,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,776,
Power System Control Technology,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,777,H. K . Messerle
Calculations and Programs for Power System Networks,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,778,Y. Wallach
Compendium of Technical Papers,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,779,
Cybernetics and Electric Power Systems,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,2,780,Kuznetsov
Microturbine Generator,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,781,Hamilton
Semiconductor Circuit Approximations,Electrical grid/ Measurement/ design/ control (Miscellaneous),,4th,1,782,Malvino
Analysis of Linear Systems,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,783,David Cheng
,,,,,784,
Control Engineering,Controls,,,1,785,"Rao, Chennavenkatesh"
Control Systems,Controls,2nd,,1,786,Gopal
Control Systems,Controls,,,1,787,Manik
Automatic Control System,Controls,1st,,1,788,Bejamin C. Kuo
Automatic Control System,Controls,7th,,1,789,Bejamin C. Kuo
Modern Control engineering,Controls,4th,,1,790,Ogata
Control System Engineering,Controls,3rd,,1,791,Nise
Modern Control System Theory,Controls,1st,,1,792,Gopal
Introduction to Electronic Control Engineering,Controls,,,1,793,"Frohr, Orttenburger"
,,,,,794,
Digital Communication,Digital Communications,4th,,1,795,Proakis
Communication System,Digital Communications,4th,,1,796,"Carlson, Crilly, Rutledge"
Communication Systems,Digital Communications,5th,,1,797,"Haykin, Moher"
Digital Communication,Digital Communications,,,1,798,Haykin
Communication System,Digital Communications,,,1,799,Haykin
Electronic Communication System,Digital Communications,2nd,,1,800,Kennedy
,,,,,801,
Signals and Systems,Signals and Systems,2nd,,2,802,"Oppenhiem, Willsky, Nawab"
Signals and Systems,Signals and Systems,,,1,803,"Rao, Ali"
Digital Signal Processing,Signals and Systems,,,1,804,"Proakis, Manolakis, Sharma"
Digital Signal Processing,Signals and Systems,3rd,,2,805,"Proakis, Manolakis"
Digital Filters Analysis and Design,Signals and Systems,,,1,806,Andreas Antonio
Digital Signal Processing,Signals and Systems,4th,,1,807,P Ramesh Babu
Adaptive Filter Theory,Signals and Systems,4th,,1,808,Haykin
,,,,,809,
"Microprocessor Architecture, Programming and Application 8085",Microprocessor ,,,1,810,Gaonkar
Introduction to Microprocessor,Microprocessor ,,,1,811,Mathur
8051 Microcontroller and Embedded systems,Microprocessor ,,,1,812,"Mazidi, Mazidi, Mckinlay"
Microcomputer systems 8086 Family,Microprocessor ,,,1,813,"Liu, Gibson"
Embedded System Design using TIMSP430 Series,Microprocessor ,,,,814,Chris Nagy
,,,,,815,
Elctrical Machines Part 3,Machines,,,1,816,"Bakshi, Bakshi"
Electrical Machines,Machines,,,3,817,"Kothari, Nagrath"
Electrical Machines and Power System Vol.1,Machines,1st,,1,818,Nasar
Electrical Machines,Machines,,,1,819,"Kothari, Nagrath"
Electrical Machines,Machines,2nd,,1,820,"Fitzjerald, Kingsley and Clemens"
Finite element Analysis of Electrical Machines,Machines,,,1,821,Salon
Electrical Machine Design,Machines,,,1,822,Balbir Singh
Electrical Machines,Machines,,,1,823,L. Piotrovsky
A course in Electrical Machinery Experiments,Machines,,,1,824,"Kohli, Jain"
Modern Power Eletronics and Drives,Machines,,,2,825,Bose
Principle of Electric Machines and Power Electronics,Machines,,,2,826,P. C. Sen
